
Version              Name                                Repository           Description
-------              ----                                ----------           -----------
0.2.0                Az.AlertsManagement                 PSGallery            Microsoft Azure PowerShell - AlertsManageme…
1.4.0                Az.Automation                       PSGallery            Microsoft Azure PowerShell - Automation ser…
1.0.2                Az.DataLakeAnalytics                PSGallery            Microsoft Azure PowerShell - Data Lake Anal…
2.1.0                Az.KeyVault                         PSGallery            Microsoft Azure PowerShell - Key Vault serv…
1.3.2                Az.LogicApp                         PSGallery            Microsoft Azure PowerShell - Logic Apps cmd…
1.1.0                Az.HealthcareApis                   PSGallery            Microsoft Azure PowerShell - HealthcareApis…
1.0.1                Az.StreamAnalytics                  PSGallery            Microsoft Azure PowerShell - Stream Analyti…
4.6.1                Azure.Storage                       PSGallery            Microsoft Azure PowerShell - Storage servic…
1.0.2                Az.DevTestLabs                      PSGallery            Microsoft Azure PowerShell - DevTest Labs s…
3.1.0                Az.Batch                            PSGallery            Microsoft Azure PowerShell - Batch service …
1.2.0                Az.Aks                              PSGallery            Microsoft Azure PowerShell - Azure managed …
1.3.0                Az.StorageSync                      PSGallery            Microsoft Azure PowerShell - Storage Sync c…
1.4.3                Az.Cdn                              PSGallery            Microsoft Azure PowerShell - CDN service cm…
1.0.3                Az.Billing                          PSGallery            Microsoft Azure PowerShell - Billing servic…
5.3.0                Azure                               PSGallery            Microsoft Azure PowerShell - Service Manage…
1.1.1                Az.Media                            PSGallery            Microsoft Azure PowerShell - Media service …
1.0.0                Az.Support                          PSGallery            Microsoft Azure PowerShell - Azure Support …
1.1.1                Az.NotificationHubs                 PSGallery            Microsoft Azure PowerShell - Notification H…
4.3.1                Az.Compute                          PSGallery            Microsoft Azure PowerShell - Compute servic…
1.10.0               Az.DataFactory                      PSGallery            Microsoft Azure PowerShell - Data Factory s…
1.5.1                Az.CognitiveServices                PSGallery            Microsoft Azure PowerShell - Cognitive Serv…
2.9.1                Az.Sql                              PSGallery            Microsoft Azure PowerShell - SQL service cm…
2.1.0                Az.ServiceFabric                    PSGallery            Microsoft Azure PowerShell - Service Fabric…
1.0.3                Az.Relay                            PSGallery            Microsoft Azure PowerShell - Relay service …
1.0.4                Az.TrafficManager                   PSGallery            Microsoft Azure PowerShell - Traffic Manage…
1.1.4                Az.AnalysisServices                 PSGallery            Microsoft Azure PowerShell - Analysis Servi…
1.6.1                Az.FrontDoor                        PSGallery            Microsoft Azure PowerShell - Front Door ser…
1.1.2                Az.Dns                              PSGallery            Microsoft Azure PowerShell - DNS service cm…
4.1.1                Az.Resources                        PSGallery            Microsoft Azure PowerShell - Azure Resource…
1.1.0                Az.DataBoxEdge                      PSGallery            Microsoft Azure PowerShell - DataBoxEdge se…
1.1.0                Az.ManagedServices                  PSGallery            Microsoft Azure PowerShell - ManagedService…
5.8.3                AzureRM.profile                     PSGallery            Microsoft Azure PowerShell - Profile creden…
3.5.0                Az.HDInsight                        PSGallery            Microsoft Azure PowerShell - HDInsight serv…
1.2.0                Az.SignalR                          PSGallery            Microsoft Azure PowerShell - Azure SignalR …
1.0.1                Az.Functions                        PSGallery            Microsoft Azure PowerShell - Azure Function…
3.3.0                Az.Network                          PSGallery            Microsoft Azure PowerShell - Networking ser…
1.2.8                Az.DataLakeStore                    PSGallery            Microsoft Azure PowerShell - Azure Data Lak…
1.0.3                Az.PrivateDns                       PSGallery            Microsoft Azure PowerShell - Private DNS se…
1.3.0                Az.EventGrid                        PSGallery            Microsoft Azure PowerShell - Event Grid ser…
1.1.1                Az.ContainerRegistry                PSGallery            Microsoft Azure PowerShell - Container Regi…
1.0.0                Az.DataShare                        PSGallery            Microsoft Azure PowerShell - DataShare serv…
1.0.3                Az.ContainerInstance                PSGallery            Microsoft Azure PowerShell - Container Inst…
2.3.0                Az.Accounts                         PSGallery            Microsoft Azure PowerShell - Accounts crede…
1.5.0                Az.EventHub                         PSGallery            Microsoft Azure PowerShell - Event Hubs ser…
2.11.1               Az.RecoveryServices                 PSGallery            Microsoft Azure PowerShell - Recovery Servi…
2.5.0                Az.Storage                          PSGallery            Microsoft Azure PowerShell - Storage servic…
1.3.1                Az.PolicyInsights                   PSGallery            Microsoft Azure PowerShell - Azure Policy I…
1.0.2                Az.MarketplaceOrdering              PSGallery            Microsoft Azure PowerShell - Marketplace Or…
1.0.0                Az.DesktopVirtualization            PSGallery            Microsoft Azure PowerShell: DesktopVirtuali…
4.6.1                Az                                  PSGallery            Microsoft Azure PowerShell - Cmdlets to man…
1.1.0                Az.ApplicationInsights              PSGallery            Microsoft Azure PowerShell - Application In…
1.1.0                Az.Maintenance                      PSGallery            Microsoft Azure PowerShell - Maintenance cm…
1.11.0               Az.Websites                         PSGallery            Microsoft Azure PowerShell - App Service (W…
1.4.1                Az.ServiceBus                       PSGallery            Microsoft Azure PowerShell - Service Bus se…
1.1.0                Az.DeploymentManager                PSGallery            PowerShell .Net Core Microsoft Azure PowerS…
1.1.3                Az.MachineLearning                  PSGallery            Microsoft Azure PowerShell - Machine Learni…
1.2.1                Az.RedisCache                       PSGallery            Microsoft Azure PowerShell - Redis Cache se…
1.1.1                Az.Advisor                          PSGallery            Microsoft Azure PowerShell - Azure Advisor …
2.5.0                Az.IotHub                           PSGallery            Microsoft Azure PowerShell - IoT Hub servic…
2.1.0                Az.ApiManagement                    PSGallery            Microsoft Azure PowerShell - Api Management…
2.1.0                Az.Monitor                          PSGallery            Microsoft Azure PowerShell - Monitor servic…
2.3.0                Az.OperationalInsights              PSGallery            Microsoft Azure PowerShell - Operational In…
1.1.2                Az.PowerBIEmbedded                  PSGallery            Microsoft Azure PowerShell - Power BI Embed…
1.1.0                Az.SqlVirtualMachine                PSGallery            Microsoft Azure PowerShell - SqlVirtualMach…

